FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,local_time,RASTERVALU
210,38.887000000000000,116.241000000000000,319.600000000000020,5/6/2011 0:00:00,3,71,7.100000000000000,11,12
211,38.875000000000000,116.302000000000010,312.500000000000000,11/17/2008 0:00:00,4,54,54.799999999999997,12,12
212,38.889000000000003,116.232000000000000,315.000000000000000,7/24/2009 0:00:00,5,35,12.600000000000000,13,12
213,38.886000000000003,116.249000000000000,316.699999999999990,5/11/2011 0:00:00,5,63,8.500000000000000,13,12
214,38.889000000000003,116.236999999999990,317.100000000000020,8/28/2010 0:00:00,5,67,12.900000000000000,13,12
215,38.887999999999998,116.244000000000000,319.800000000000010,7/21/2008 0:00:00,5,49,14.400000000000000,13,12
216,38.939999999999998,115.982000000000000,320.100000000000020,2/5/2008 0:00:00,5,72,38.299999999999997,13,1
217,38.890999999999998,116.233000000000000,325.899999999999980,7/3/2013 0:00:00,5,24,15.100000000000000,13,12
218,38.889000000000003,116.244000000000000,316.399999999999980,8/22/2008 0:00:00,5,56,11.800000000000001,13,12
219,38.889000000000003,116.244000000000000,323.000000000000000,8/7/2014 0:00:00,5,39,17.000000000000000,13,12
220,38.889000000000003,116.244000000000000,316.399999999999980,8/22/2008 0:00:00,5,56,11.800000000000001,13,12
221,38.889000000000003,116.244000000000000,323.000000000000000,8/7/2014 0:00:00,5,39,17.000000000000000,13,12
222,38.889000000000003,116.245000000000000,328.399999999999980,7/6/2010 0:00:00,3,53,10.800000000000001,11,12
223,38.804000000000002,116.672000000000000,317.399999999999980,7/30/2013 0:00:00,3,55,11.100000000000000,11,13
224,38.892000000000003,116.230999999999990,317.199999999999990,7/21/2013 0:00:00,3,31,12.199999999999999,11,12
225,38.890000000000001,116.244000000000000,317.199999999999990,7/21/2013 0:00:00,3,32,11.699999999999999,11,12
226,38.890000000000001,116.244000000000000,316.600000000000020,8/18/2014 0:00:00,3,38,10.400000000000000,11,12
227,38.890000000000001,116.244000000000000,317.199999999999990,7/21/2013 0:00:00,3,32,11.699999999999999,11,12
228,38.890000000000001,116.244000000000000,316.600000000000020,8/18/2014 0:00:00,3,38,10.400000000000000,11,12
